0:0:0:0:0:0:0:1 - - [03/Jan/2020:13:40:10 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:13:40:11 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:13:40:11 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:13:40:21 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [03/Jan/2020:13:42:01 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:06:09 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:06:10 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:06:17 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:06:27 +0900] "GET /clientweb/css/css_table_test.html HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:27:36 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:28:34 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:29:02 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:30:00 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 529
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:30:30 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:30:58 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:32:27 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:33:18 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:33:19 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:33:26 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:34:23 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:34:53 +0900] "GET /clientweb/css/css_boxmodel_test02.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:41:36 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:41:45 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:41:51 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:43:15 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:43:51 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:01 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:02 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:13 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [03/Jan/2020:14:44:19 +0900] "GET /clientweb/css/css_boxmodel_microsoft.html HTTP/1.1" 200 1483
